74,85,123,1
73,84,122,1
72,83,121,1
70,81,119,1
70,81,119,1
69,80,118,1
70,81,119,1
70,81,119,1
76,87,125,1
76,87,125,1
77,88,126,1
77,88,126,1
77,88,126,1
78,89,127,1
77,85,125,1
78,86,126,1
78,86,126,1
77,85,125,1
76,84,124,1
77,85,125,1
80,88,128,1
83,91,131,1
83,91,131,1
84,92,132,1
84,92,132,1
83,91,131,1
80,88,128,1
78,86,126,1
78,86,126,1
79,87,127,1
78,86,126,1
79,87,127,1
81,89,129,1
82,90,130,1
83,91,131,1
82,90,130,1
81,89,129,1
81,89,129,1
84,92,132,1
81,89,129,1
79,87,127,1
79,87,127,1
82,90,130,1
83,91,131,1
82,90,130,1
78,88,128,1
79,89,129,1
78,90,130,1
79,91,131,1
80,92,132,1
80,92,132,1
80,92,132,1
80,92,132,1
79,91,131,1
83,95,135,1
82,94,134,1
81,93,133,1
80,92,132,1
78,90,130,1
77,89,129,1
76,88,128,1
73,88,127,1
75,90,129,1
75,90,129,1
78,88,128,1
79,87,127,1
80,86,129,1
78,85,128,1
75,84,128,1
69,85,128,1
61,82,127,1
152,179,223,1
144,176,219,1
146,180,223,1
156,185,230,1
164,190,236,1
165,189,235,1
168,190,238,1
168,189,244,1
170,190,247,1
175,195,250,1
180,201,253,1
187,203,255,1
192,207,255,1
194,208,255,1
196,209,253,1
205,214,255,1
206,215,253,1
207,215,252,1
210,217,250,1
215,217,251,1
217,220,251,1
220,222,252,1
221,224,255,1
222,228,255,1
218,226,255,1
215,223,255,1
213,221,255,1
211,219,255,1
210,218,255,1
211,219,255,1
211,219,255,1
210,218,255,1
211,219,255,1
211,219,255,1
211,219,255,1
211,219,255,1
210,218,255,1
209,217,254,1
207,216,253,1
208,218,252,1
206,218,252,1
206,218,252,1
206,218,252,1
206,218,254,1
206,218,254,1
206,217,255,1
206,217,255,1
209,220,255,1
208,219,255,1
208,218,255,1
207,217,255,1
206,216,255,1
205,215,255,1
204,214,254,1
203,213,253,1
205,213,253,1
206,214,254,1
206,214,254,1
207,215,255,1
208,216,255,1
208,216,255,1
209,217,255,1
209,217,255,1
200,208,248,1
204,212,252,1
207,215,255,1
209,217,255,1
208,216,255,1
207,215,255,1
207,215,255,1
207,216,254,1
207,219,253,1
208,221,253,1
209,221,255,1
209,221,255,1
208,220,254,1
207,219,253,1
205,217,253,1
204,216,252,1
204,215,253,1
203,214,252,1
202,212,252,1
201,211,251,1
201,210,253,1
201,210,253,1
201,210,253,1
202,211,254,1
202,212,252,1
202,212,252,1
203,213,253,1
203,213,253,1
203,213,253,1
204,214,254,1
204,214,254,1
204,214,254,1
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
202,212,252,1
196,207,251,1
195,206,250,1
194,205,249,1
194,205,249,1
194,205,249,1
70,81,119,1
70,81,119,1
70,81,119,1
71,82,120,1
71,82,120,1
72,83,121,1
73,84,122,1
74,85,123,1
74,85,123,1
74,85,123,1
74,85,123,1
75,86,124,1
75,86,124,1
76,87,125,1
76,87,125,1
76,87,125,1
77,85,125,1
78,86,126,1
78,86,126,1
77,85,125,1
75,83,123,1
76,84,124,1
78,86,126,1
81,89,129,1
83,91,131,1
85,93,133,1
85,93,133,1
85,93,133,1
83,91,131,1
82,90,130,1
83,91,131,1
84,92,132,1
80,88,128,1
81,89,129,1
82,90,130,1
84,92,132,1
84,92,132,1
84,92,132,1
83,91,131,1
82,90,130,1
84,92,132,1
81,89,129,1
79,87,127,1
79,87,127,1
82,90,130,1
83,91,131,1
82,90,130,1
78,88,128,1
81,91,131,1
80,92,132,1
81,93,133,1
81,93,133,1
81,93,133,1
81,93,133,1
80,92,132,1
79,91,131,1
81,93,133,1
80,92,132,1
80,92,132,1
79,91,131,1
79,91,131,1
78,90,130,1
78,90,130,1
75,90,129,1
75,90,129,1
75,90,129,1
78,88,128,1
79,87,127,1
80,86,129,1
78,85,128,1
75,84,128,1
69,85,128,1
63,84,129,1
153,180,224,1
146,178,221,1
150,182,225,1
157,186,231,1
164,190,236,1
166,189,235,1
168,190,238,1
171,192,244,1
173,193,248,1
177,197,252,1
183,201,254,1
188,205,255,1
193,208,255,1
195,210,255,1
197,210,254,1
204,213,255,1
208,217,255,1
212,220,255,1
217,223,255,1
221,226,255,1
223,226,255,1
224,226,255,1
222,225,255,1
212,218,253,1
209,217,254,1
208,216,253,1
207,215,252,1
206,214,251,1
206,214,251,1
206,214,251,1
206,214,251,1
214,222,255,1
214,222,255,1
214,222,255,1
212,220,255,1
211,219,255,1
209,217,254,1
208,216,253,1
206,215,252,1
207,217,251,1
206,218,252,1
206,218,252,1
206,218,252,1
206,218,254,1
206,218,254,1
206,217,255,1
207,218,255,1
206,217,255,1
206,217,255,1
206,216,255,1
205,215,255,1
204,214,254,1
204,214,254,1
203,213,253,1
203,213,253,1
203,211,251,1
203,211,251,1
203,211,251,1
204,212,252,1
204,212,252,1
204,212,252,1
205,213,253,1
205,213,253,1
201,209,249,1
204,212,252,1
208,216,255,1
209,217,255,1
208,216,255,1
207,215,255,1
207,215,255,1
208,217,255,1
206,218,252,1
207,220,252,1
208,220,254,1
208,220,254,1
208,220,254,1
207,219,253,1
206,218,254,1
205,217,253,1
204,215,253,1
204,215,253,1
203,213,253,1
202,212,252,1
202,211,254,1
202,211,254,1
202,211,254,1
202,211,254,1
204,214,254,1
204,214,254,1
204,214,254,1
203,213,253,1
202,212,252,1
202,212,252,1
202,212,252,1
201,211,251,1
202,212,252,1
202,212,252,1
202,212,252,1
